id,name,slug,type,description,country_code,homepage_url,docs_url,repo_url,free_access_class,auth_type,status,verification_state,tags,created_at,updated_at,last_verified_at
d879f811-8b4b-4c56-9961-77f9431f8632,Περιοχές που εξαιρούνται από την Πολεοδομική Μελέτη,-100,API,"Περιοχές που εξαιρούνται από την Πολεοδομική Μελέτη, ΦΕΚ 420/Δ/2023",GR,https://services.chalandri.gr/geoserver/wms#ot_rg_exaireseis,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:12.430Z,2026-07-20T20:30:24.547Z,2026-07-20T12:10:47.572Z
2d10f8b9-c3af-4a51-a1ad-a6cbf9beaa45,Περιοχές που εξαιρούνται από την Πολεοδομική Μελέτη,-101,API,"Περιοχές που εξαιρούνται από την Πολεοδομική Μελέτη, ΦΕΚ 420/Δ/2023",GR,https://services.chalandri.gr/geoserver/wms#ot_rg_exaireseis,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:13.875Z,2026-07-20T20:30:24.547Z,2026-07-20T16:11:11.375Z
2e399258-ab1c-4b42-9d8a-c378463b4081,Οικοδομικά τετράγωνα (χωρίς τμήμα Πεύκο Πολίτη),-102,API,Οικοδομικά τετράγωνα (χωρίς τμήμα Πεύκο Πολίτη),GR,https://services.chalandri.gr/geoserver/wms#ot_rg_closed_old,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:33.725Z,2026-07-20T20:30:24.547Z,2026-07-20T17:54:57.508Z
4d871095-da81-4ca0-b968-bc9cc5600092,Οικοδομικά τετράγωνα (χωρίς τμήμα Πεύκο Πολίτη),-103,API,Οικοδομικά τετράγωνα (χωρίς τμήμα Πεύκο Πολίτη),GR,https://services.chalandri.gr/geoserver/wms#ot_rg_closed_old,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:36.660Z,2026-07-20T22:29:41.587Z,2026-07-20T22:29:41.587Z
f003189d-9997-4984-b093-ec3a30fd2997,Οικοδομικά Τετράγωνα,-104,API,Τα όρια των οικοδομικών τετραγώνων του Δήμου Χαλανδρίου,GR,https://services.chalandri.gr/geoserver/wms#ot_rg_closed,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:53.946Z,2026-07-20T22:30:12.847Z,2026-07-20T22:30:12.847Z
2848d341-5992-4ffc-8370-0a9158fc5df3,Οικοδομικά Τετράγωνα,-105,API,Τα όρια των οικοδομικών τετραγώνων του Δήμου Χαλανδρίου,GR,https://services.chalandri.gr/geoserver/wms#ot_rg_closed,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:02:57.006Z,2026-07-21T00:09:15.397Z,2026-07-21T00:09:15.397Z
38645990-6ca7-4f0c-854d-c5e64e7b08d1,Διοικητικά Όρια Δήμου Χαλανδρίου,-106,API,Διοικητικά Όρια Δήμου Χαλανδρίου,GR,https://services.chalandri.gr/geoserver/wms#orio_dimou,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:03:14.670Z,2026-07-20T22:12:42.911Z,2026-07-20T22:12:42.911Z
9b8af3bd-9005-480f-830f-7ae11f815d0a,Διοικητικά Όρια Δήμου Χαλανδρίου,-107,API,Διοικητικά Όρια Δήμου Χαλανδρίου,GR,https://services.chalandri.gr/geoserver/wms#orio_dimou,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:03:17.716Z,2026-07-20T22:45:43.670Z,2026-07-20T22:45:43.670Z
3c4b9e99-8e09-4b68-afa7-f610da18ff62,Οικοδομικές Γραμμές,-108,API,Οικοδομικές Γραμμές,GR,https://services.chalandri.gr/geoserver/wms#oikodomiki_grammi,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:03:35.584Z,2026-07-20T21:24:12.008Z,2026-07-20T21:24:12.008Z
901e8130-e04f-4b96-9312-9a0492e3d038,Οικοδομικές Γραμμές,-109,API,Οικοδομικές Γραμμές,GR,https://services.chalandri.gr/geoserver/wms#oikodomiki_grammi,,,FREE_NO_AUTH,NONE,ACTIVE,VERIFIED,,2026-07-13T11:03:38.777Z,2026-07-20T20:30:24.547Z,2026-07-20T16:29:45.396Z
